,frip,uniq_frags,mt_content,sequencing_depth,dup_level,frac_open,mapping_rate,plate,batch,LSI Dimension 1,LSI Dimension 2,LSI Dimension 3,Bcl11a,Bcl11b,Cd3e,Cd4,Cd8a,Cd19,Ms4a1,Ebf1,Tcf7,Gzma,Lrg1
mSp_rep6_381,0.707965,54681.0,0.012568000000000001,1498414,0.959364,0.23140700000000003,96.7,rep6,Sp#2 (n=2688),0.46391347270049993,0.18176806613311092,0.15817962580251013,11,13,13,9,0,0,0,0,11,0,0
mSp_rep2_029,0.709537,56522.0,0.018323,1748677,0.964347,0.258141,96.55,rep2,Sp#1 (n=960),0.4665578259866487,-0.00914405709307982,-0.035976311363821324,35,0,7,0,0,3,14,27,19,0,0
mSp_rep4_086,0.766211,50819.0,0.010418,1285074,0.957341,0.23651799999999998,97.38,rep4,Sp#1 (n=960),0.5212580534523,0.10114697436793488,-0.05311080924523672,21,29,6,0,18,2,9,20,43,0,0
mSp_rep6_328,0.737219,45768.0,0.031958999999999994,1187052,0.9553379999999999,0.224925,96.74,rep6,Sp#2 (n=2688),0.4926171380473044,0.12150014563962076,-0.018728497326972064,28,18,4,0,4,6,4,5,32,0,0
mSp_rep10_295,0.688193,42456.0,0.021863999999999998,903051,0.9476110000000001,0.208798,97.11,rep10,Sp#2 (n=2688),0.4531810612683964,-0.10858845892122891,-0.017666651336376907,23,0,2,0,0,10,2,13,12,0,0
mSp_rep4_174,0.715392,117734.0,0.011868,2613977,0.951149,0.37517,97.13,rep4,Sp#1 (n=960),0.5364952130565274,0.028303657783426295,-0.018009781765741712,55,28,6,7,16,9,11,36,45,0,0
mSp_rep7_115,0.702389,43742.0,0.018688,911694,0.946249,0.207017,96.9,rep7,Sp#2 (n=2688),0.5040852228826443,-0.1285838078874481,-0.01945941864479061,31,0,0,0,0,2,17,12,13,0,0
mSp_rep4_336,0.66072,57727.0,0.030271,1596109,0.9593299999999999,0.229882,96.52,rep4,Sp#1 (n=960),0.48405817679571134,0.15884020316464753,-0.028607966149466865,14,28,4,9,0,0,2,9,33,0,0
mSp_rep4_020,0.649824,100428.0,0.023463,2495111,0.955133,0.329567,96.39,rep4,Sp#1 (n=960),0.5227720615538113,-0.052668931843270574,0.01735712509043277,68,8,8,0,0,11,15,25,23,0,0
mSp_rep4_373,0.711515,65562.0,0.024868,1662066,0.9564940000000001,0.28725700000000004,97.23,rep4,Sp#1 (n=960),0.5021898355711796,-0.002230333667000628,0.011120214068751308,47,12,0,0,0,12,13,16,26,4,2
mSp_rep4_009,0.7114229999999999,72374.0,0.009417,1885752,0.9581700000000001,0.295096,96.48,rep4,Sp#1 (n=960),0.5244600890199409,-0.009400636790848658,-0.04264717614741003,67,17,8,4,0,2,5,21,32,0,0
mSp_rep2_040,0.7333689999999999,56085.0,0.018961000000000002,2104286,0.970617,0.24909699999999999,96.62,rep2,Sp#1 (n=960),0.5087259866716874,0.06850286319576193,-0.041017700836602465,51,13,4,4,0,3,6,22,29,0,0
mSp_rep8_017,0.635456,55225.0,0.007619,1079299,0.9437540000000001,0.248034,96.68,rep8,Sp#2 (n=2688),0.4614135778474573,-0.11324652464320337,-0.010377347648848434,30,0,0,0,2,2,12,27,11,0,0
mSp_rep4_371,0.7339479999999999,63313.0,0.018297,1562237,0.955528,0.263277,97.04,rep4,Sp#1 (n=960),0.5321390396374038,0.07175137835396046,-0.05871452739113558,44,22,6,0,0,4,5,55,24,0,0
mSp_rep3_344,0.7233350000000001,59973.0,0.014672,1644862,0.960034,0.260357,96.61,rep3,Sp#1 (n=960),0.5049856169367525,0.0670671018919637,-0.020753138940944427,48,16,6,0,11,2,2,23,15,0,0
mSp_rep3_041,0.754042,23023.0,0.028031999999999998,464081,0.945471,0.141188,97.79,rep3,Sp#1 (n=960),0.4146435208157747,-0.10838119072881212,-0.0112345076642531,20,0,0,0,0,0,7,15,12,0,0
mSp_rep4_195,0.699823,50891.0,0.019082,1379847,0.959893,0.23786300000000002,97.6,rep4,Sp#1 (n=960),0.399194302057374,0.096383838300448,0.14950070094219647,16,15,9,0,2,2,3,0,25,0,0
mSp_rep1_053,0.724826,58090.0,0.031397,1622717,0.960368,0.249302,97.54,rep1,Sp#1 (n=960),0.4945741493212102,-0.0276760715835463,0.07614359223543629,37,2,0,0,0,4,2,19,13,3,0
mSp_rep6_155,0.6273340000000001,60031.0,0.01138,1671963,0.9597870000000001,0.258307,96.52,rep6,Sp#2 (n=2688),0.4595855096669705,-0.11556504853795747,0.0037534016507625775,42,0,0,0,0,10,5,25,29,0,0
mSp_rep1_087,0.769487,44596.0,0.036554,971881,0.948257,0.215459,97.45,rep1,Sp#1 (n=960),0.5033448903479498,0.1076425090017546,-0.03565326204199041,18,15,4,2,16,6,4,16,19,0,0
mSp_rep3_132,0.631149,122145.0,0.017471,3317491,0.959724,0.366638,97.13,rep3,Sp#1 (n=960),0.5427885065139606,-0.008535630476845855,-0.032754675212661205,78,17,11,0,10,8,13,33,36,6,0
mSp_rep2_078,0.7286630000000001,98874.0,0.012327,4434276,0.9757819999999999,0.324469,97.08,rep2,Sp#1 (n=960),0.5470443479751012,-0.16058476802700974,-0.02021172175912547,107,0,0,0,0,24,29,75,12,0,0
mSp_rep4_137,0.723762,102674.0,0.011676,2584558,0.957091,0.355033,97.49,rep4,Sp#1 (n=960),0.5187813578574776,0.18219284552449913,-0.005689695338387527,14,69,18,2,23,8,6,18,79,9,0
mSp_rep4_138,0.612404,193085.0,0.022874000000000002,4934942,0.9558709999999999,0.40833400000000003,95.8,rep4,Sp#1 (n=960),0.5537700216117101,0.1084151466541484,-0.0358797285554322,58,77,7,0,2,13,19,29,67,2,0
mSp_rep3_287,0.711735,154433.0,0.016488,3791848,0.954586,0.41732600000000003,95.61,rep3,Sp#1 (n=960),0.5434540773437659,-0.06469425667144332,-0.03702509399359017,133,22,8,5,1,11,32,52,13,0,0
mSp_rep4_106,0.74662,54242.0,0.027327999999999998,1344820,0.955254,0.2451,97.07,rep4,Sp#1 (n=960),0.5042881759028677,0.009744777139971841,0.04129283263131372,34,22,0,0,0,4,6,19,13,0,0
mSp_rep4_010,0.726548,61119.0,0.011819,1552531,0.957383,0.26069000000000003,97.13,rep4,Sp#1 (n=960),0.520943057302261,0.04993882416299881,-0.0434863109361409,23,7,2,2,0,6,12,23,15,0,0
mSp_rep3_153,0.708879,67790.0,0.058171,2050593,0.9610190000000001,0.256322,96.01,rep3,Sp#1 (n=960),0.48442306884248565,0.23819314012244472,0.011202719169709987,8,39,23,5,0,0,0,31,75,0,0
mSp_rep4_381,0.671514,62641.0,0.018428,1481754,0.953775,0.268106,97.44,rep4,Sp#1 (n=960),0.42263561451070064,0.10319624749668763,0.1248668568231813,28,30,4,0,7,1,0,0,30,0,0
mSp_rep3_218,0.751397,50078.0,0.021685,1369629,0.959517,0.23124,96.6,rep3,Sp#1 (n=960),0.5028490425440646,0.04253154799747284,0.0024128951955532797,17,8,6,0,0,5,16,14,19,0,0
mSp_rep3_251,0.716762,39642.0,0.038399,759311,0.9411069999999999,0.196398,97.09,rep3,Sp#1 (n=960),0.48921162067713425,0.01743709675059166,-0.040796516508246145,19,15,0,0,10,4,12,8,4,0,0
mSp_rep3_331,0.5955739999999999,160896.0,0.025481,3727160,0.9524530000000001,0.415328,97.39,rep3,Sp#1 (n=960),0.5329058981460165,-0.021822444759263763,-0.004183655076843436,74,18,7,2,12,20,21,72,19,0,0
mSp_rep3_003,0.6456529999999999,131833.0,0.029791,4175841,0.96473,0.367971,96.89,rep3,Sp#1 (n=960),0.5512361551393402,0.01280359729434872,-0.02210480480850958,68,29,22,5,0,10,28,25,29,0,0
mSp_rep3_070,0.505016,58041.0,0.0081,1579472,0.9596790000000001,0.21506199999999998,96.2,rep3,Sp#1 (n=960),0.40908461517715283,-0.10916855749184089,0.0461338562612022,26,0,0,0,0,7,5,22,13,0,0
mSp_rep4_013,0.742376,111679.0,0.015124,2924212,0.9583969999999999,0.359119,97.2,rep4,Sp#1 (n=960),0.560443007823184,0.04927895759723423,-0.05672112873127153,58,45,12,1,0,0,20,58,52,2,0
mSp_rep3_061,0.72615,67961.0,0.020932,1785261,0.9582299999999999,0.28015999999999996,97.0,rep3,Sp#1 (n=960),0.5294098288522003,0.10864425215620382,-0.054127809169339014,22,34,4,13,0,0,0,28,25,0,0
mSp_rep4_230,0.67697,158787.0,0.022302000000000002,4286435,0.9591200000000001,0.413778,97.01,rep4,Sp#1 (n=960),0.5542933753699214,-0.04070089107517142,-0.029923734867613752,112,18,3,2,21,14,26,72,29,0,0
mSp_rep3_330,0.6028479999999999,71583.0,0.010395999999999999,1635281,0.950606,0.267633,94.58,rep3,Sp#1 (n=960),0.4876827548267642,-0.0018978804335245277,-0.03328368205967484,44,9,5,0,0,1,21,12,25,0,0
mSp_rep4_338,0.38159499999999996,146529.0,0.011889,3663574,0.951865,0.291061,91.84,rep4,Sp#1 (n=960),0.502264248606817,0.12184066028713099,-0.029354140624657923,26,22,11,2,9,2,6,22,25,0,0
mSp_rep4_001,0.629942,69413.0,0.026902,1887585,0.958684,0.256693,96.37,rep4,Sp#1 (n=960),0.5090070188720258,0.0880590297741983,-0.04301865524758778,22,20,6,2,5,5,6,15,24,0,0
mSp_rep3_222,0.694861,45000.0,0.029147000000000003,1382701,0.963374,0.20841300000000001,96.22,rep3,Sp#1 (n=960),0.49568409946373065,-0.08574421308832872,-0.014878580928975236,23,2,0,0,0,3,12,30,17,0,0
mSp_rep11_045,0.746848,33821.0,0.048047,825327,0.9530770000000001,0.182794,97.71,rep11,Sp#2 (n=2688),0.4911130967325623,-0.13089142818926394,-0.033044522844942886,35,0,0,0,0,3,5,16,12,0,0
mSp_rep11_330,0.6421279999999999,48672.0,0.012398000000000001,948849,0.943367,0.22186399999999998,96.84,rep11,Sp#2 (n=2688),0.4723988428208241,-0.12095074083250061,-0.013191320474376093,28,0,2,0,0,9,15,47,16,0,0
mSp_rep8_323,0.686189,41498.0,0.009807,746886,0.939566,0.200138,97.39,rep8,Sp#2 (n=2688),0.49174492245523943,-0.11654300260735982,-0.006151914180235568,35,0,0,0,0,6,10,24,13,0,0
mSp_rep4_145,0.6380060000000001,159293.0,0.02394,4092922,0.956838,0.406656,96.8,rep4,Sp#1 (n=960),0.5318683060802445,0.1685045460680101,-0.0010491943101776583,40,41,22,8,9,6,4,17,91,0,0
mSp_rep5_176,0.707888,37899.0,0.009772,694241,0.940357,0.18802,96.9,rep5,Sp#2 (n=2688),0.49559868708915183,-0.12976450386113478,-0.013693094618593036,30,0,2,0,0,4,11,19,12,0,0
mSp_rep4_102,0.7592439999999999,43860.0,0.01945,989983,0.9514239999999999,0.2208,97.19,rep4,Sp#1 (n=960),0.5067129860285797,0.1068442606339864,-0.05774253926774108,19,25,14,2,8,4,1,23,21,0,0
mSp_rep2_063,0.6897949999999999,62587.0,0.03209,1955738,0.9642940000000001,0.27858499999999997,97.23,rep2,Sp#1 (n=960),0.4781384527417515,0.030274274160010595,-0.013798780173935134,28,23,0,0,7,8,10,23,37,0,0
mSp_rep3_351,0.698333,63851.0,0.019261,1358343,0.9481940000000001,0.27262800000000004,96.77,rep3,Sp#1 (n=960),0.46984717697259604,-0.03405231726356187,0.1030018726755018,35,10,1,0,0,3,6,16,30,19,0
mSp_rep3_214,0.741969,62750.0,0.014759,1657190,0.958658,0.264673,96.86,rep3,Sp#1 (n=960),0.5311249495289317,0.08292476223817981,-0.04607944547500931,21,26,4,2,13,7,0,19,26,0,0
mSp_rep4_027,0.691254,87651.0,0.018411,2213437,0.95586,0.289627,96.17,rep4,Sp#1 (n=960),0.527052929402357,0.08320328107305054,0.0002659488530127557,41,26,9,4,0,5,3,16,38,2,0
mSp_rep4_301,0.758973,92724.0,0.020059,2569782,0.9605440000000001,0.325737,97.35,rep4,Sp#1 (n=960),0.5525187053479972,-0.04458080620781764,-0.05297828791566724,65,10,0,4,0,9,18,81,26,0,0
mSp_rep3_226,0.709917,59777.0,0.012766,1749851,0.9627870000000001,0.270476,96.9,rep3,Sp#1 (n=960),0.4903319255668165,0.0868756934725227,-0.050694900713444326,24,12,2,6,0,7,10,13,32,0,0
